air								Air (you hacker you!)
beds:bed_bottom					Simple Bed
beds:bed_top		
beds:fancy_bed_bottom			Fancy Bed
beds:fancy_bed_top		
cottages:anvil					anvil
cottages:barrel_lying_open		barrel (opened)		 lying somewhere
cottages:barrel_lying			barrel (closed)		 lying somewhere
cottages:barrel_open			barrel (open)
cottages:barrel					barrel (closed)
cottages:bed_foot				Bed (foot region)
cottages:bed_head				Bed (head region)
cottages:bench					simple wooden bench
cottages:feldweg_crossing		dirt road crossing
cottages:feldweg_curve			dirt road curve
cottages:feldweg_end			dirt road end
cottages:feldweg_slope_long		dirt road slope long
cottages:feldweg_slope			dirt road slope
cottages:feldweg_t_junction		dirt road t junction
cottages:feldweg				dirt road
cottages:fence_corner			small fence corner
cottages:fence_end				small fence end
cottages:fence_small			small fence
cottages:gate_closed			closed fence gate
cottages:gate_open				opened fence gate
cottages:glass_pane_side		simple glass pane
cottages:glass_pane				simple glass pane (centered)
cottages:half_door_inverted		half door inverted
cottages:half_door				half door
cottages:hammer					Steel hammer for repairing tools on the anvil
cottages:handmill				mill		 powered by punching
cottages:hatch_steel			metal hatch
cottages:hatch_wood				wooden hatch
cottages:ladder_with_rope_and_rail		Ladder with rail support
cottages:loam					loam
cottages:reet					Reet for thatching
cottages:roof_black				Roof black
cottages:roof_brown				Roof brown
cottages:roof_connector_black	Roof connector black
cottages:roof_connector_brown	Roof connector brown
cottages:roof_connector_red		Roof connector red
cottages:roof_connector_reet	Roof connector reet
cottages:roof_connector_slate	Roof connector slate
cottages:roof_connector_straw	Roof connector straw
cottages:roof_connector_wood	Roof connector wood
cottages:roof_flat_black		Roof (flat) black
cottages:roof_flat_brown		Roof (flat) brown
cottages:roof_flat_red			Roof (flat) red
cottages:roof_flat_reet			Roof (flat) reet
cottages:roof_flat_slate		Roof (flat) slate
cottages:roof_flat_straw		Roof (flat) straw
cottages:roof_flat_wood			Roof (flat) wood
cottages:roof_red				Roof red
cottages:roof_reet				Roof reet
cottages:roof_slate				Roof slate
cottages:roof_straw				Roof straw
cottages:roof_wood				Roof wood
cottages:rope					rope for climbing
cottages:shelf					open storage shelf
cottages:slate_vertical			Vertical Slate
cottages:sleeping_mat_head		sleeping mat with pillow
cottages:sleeping_mat			sleeping mat
cottages:stovepipe				stovepipe
cottages:straw_bale				straw bale
cottages:straw_ground			straw ground for animals
cottages:straw_mat				layer of straw
cottages:straw					straw
cottages:table					table
cottages:threshing_floor		threshing floor
cottages:tub					tub
cottages:wagon_wheel			wagon wheel
cottages:washing				washing place
cottages:window_shutter_closed		closed window shutters
cottages:window_shutter_open		opened window shutters
cottages:wood_flat				flat wooden planks
cottages:wool_tent				wool for tents
cottages:wool					Wool
craftguide:book					Crafting Guide
craftguide:sign					Crafting Guide Sign
default:acacia_bush_leaves		Acacia Bush Leaves
default:acacia_bush_sapling		Acacia Bush Sapling
default:acacia_bush_stem		Acacia Bush Stem
default:acacia_leaves			Acacia Leaves
default:acacia_sapling			Acacia Tree Sapling
default:acacia_tree				Acacia Tree
default:acacia_wood				Acacia Wood Planks
default:apple					Apple
default:aspen_leaves			Aspen Leaves
default:aspen_sapling			Aspen Tree Sapling
default:aspen_tree				Aspen Tree
default:aspen_wood				Aspen Wood Planks
default:axe_bronze				Bronze Axe
default:axe_diamond				Diamond Axe
default:axe_mese				Mese Axe
default:axe_steel				Steel Axe
default:axe_stone				Stone Axe
default:axe_wood				Wooden Axe
default:book_written			Book With Text
default:book					Book
default:bookshelf				Bookshelf
default:brick					Brick Block
default:bronze_ingot			Bronze Ingot
default:bronzeblock				Bronze Block
default:bush_leaves				Bush Leaves
default:bush_sapling			Bush Sapling
default:bush_stem				Bush Stem
default:cactus					Cactus
default:chest_locked_open		Locked Chest
default:chest_locked			Locked Chest
default:chest_open				Chest
default:chest					Chest
default:clay_brick				Clay Brick
default:clay_lump				Clay Lump
default:clay					Clay
default:cloud					Cloud
default:coal_lump				Coal Lump
default:coalblock				Coal Block
default:cobble					Cobblestone
default:copper_ingot			Copper Ingot
default:copper_lump				Copper Lump
default:copperblock				Copper Block
default:coral_brown				Brown Coral
default:coral_orange			Orange Coral
default:coral_skeleton			Coral Skeleton
default:desert_cobble			Desert Cobblestone
